symbol,name,price,rank
BTC,Bitcoin,41307.756872801176,1
ETH,Ethereum,2467.9564896619545,2
USDT,Tether USD,0.9998417329338047,3
BNB,BNB,314.7157224009235,4
SOL,Solana,94.3312640857174,5
XRP,XRP,0.5520180310075127,6
USDC,USDC,1.0010284166944332,7
ADA,Cardano,0.5022105515060654,8
AVAX,Avalanche,33.571024888188134,9
DOGE,Dogecoin,0.07801496181758291,10
TRX,TRON,0.10809872833225004,11
DOT,Polkadot,7.0155718247322145,12
wstETH,Wrapped liquid staked Ether 2.0,2850.6722997026077,13
WETH,Wrapped Ether,2480.7797296585104,14
LINK,Chainlink,14.664857460372914,15
MATIC,Polygon,0.7850487038642798,16
WBTC,Wrapped BTC,41298.48291912638,17
UNI,Uniswap,6.312245301632299,18
SHIB,Shiba Inu,9.204028605937e-06,19
ICP,Internet Computer (DFINITY),11.48403838582465,20
LTC,Litecoin,67.96553133257048,21
BCH,Bitcoin Cash,237.60840493081943,22
CAKE,PancakeSwap,2.8016404974020124,23
IMX,Immutable X,1.9368590243263581,24
DAI,Dai,1.0000185391303176,25
ETC,Ethereum Classic,24.454412125944863,26
TON,Toncoin,2.2397163869256422,27
ATOM,Cosmos,9.697016370993211,28
INJ,Injective Protocol,35.9880756259963,29
XMR,Monero,152.70850007847065,30
FIL,Filecoin,5.595322136142366,31
APEX,ApeX Protocol,2.6203155026676956,32
WEMIX,WEMIX Token,2.6031163228159597,33
HBAR,Hedera,0.0752353562044786,34
LDO,Lido DAO Token,3.0285415546004724,35
ARB,ARBITRUM,1.889902694044677,36
TIA,Celestia,16.891884118897046,37
KAS,Kaspa,0.10406138854513543,38
XLM,Stellar,0.11415175337282545,39
RNDR,Render Token,4.292010890946036,40
ENS,EnergySwap,21.05155282894376,41
FDUSD,First Digital USD,1.0036603190537985,42
MKR,Maker,1986.8612160543162,43
VET,VeChain,0.028492169412301097,44
NEAR,NEAR Protocol,3.0750698558011162,45
FXS,Frax Share,8.726237956115025,46
ORDI,ordi,69.88960642150906,47
BSV,Bitcoin SV,75.82571960386171,48
AAVE,Aave,96.91819287114953,49
ALGO,Algorand,0.178927940940539,50
