symbol,name,price,rank
BTC,Bitcoin,41163.17249270776,1
ETH,Ethereum,2456.7573960059503,2
USDT,Tether USD,1.0001229673161798,3
BNB,BNB,311.95766101376074,4
SOL,Solana,94.16328464292738,5
XRP,XRP,0.5510971535279807,6
USDC,USDC,1.001993487322208,7
ADA,Cardano,0.502427787063776,8
AVAX,Avalanche,33.430327657269736,9
DOGE,Dogecoin,0.07807742557180487,10
TRX,TRON,0.10785333526115148,11
DOT,Polkadot,6.954863284717758,12
wstETH,Wrapped liquid staked Ether 2.0,2840.5947816953894,13
WETH,Wrapped Ether,2454.877698478488,14
LINK,Chainlink,14.591359305212057,15
MATIC,Polygon,0.7860849531307013,16
WBTC,Wrapped BTC,41140.12230099299,17
UNI,Uniswap,6.345755386941913,18
SHIB,Shiba Inu,0.000009158014570293,19
ICP,Internet Computer (DFINITY),11.489214888971384,20
LTC,Litecoin,67.4121375068915,21
BCH,Bitcoin Cash,236.32633240220213,22
CAKE,PancakeSwap,2.7751066451614657,23
IMX,Immutable X,1.9287098129613587,24
DAI,Dai,0.9998812891852287,25
ETC,Ethereum Classic,24.43334575074914,26
TON,Toncoin,2.230892363261958,27
ATOM,Cosmos,9.689358538708653,28
INJ,Injective Protocol,36.32310665066806,29
XMR,Monero,153.0682443739478,30
FIL,Filecoin,5.5842651586478205,31
WEMIX,WEMIX Token,2.5767923257257968,32
APEX,ApeX Protocol,2.5754910982647403,33
HBAR,Hedera,0.07535416992560817,34
LDO,Lido DAO Token,3.0070140039189823,35
ARB,ARBITRUM,1.9049613593235084,36
TIA,Celestia,17.028280636487644,37
KAS,Kaspa,0.103383451006861,38
XLM,Stellar,0.11388220512517898,39
RNDR,Render Token,4.220298638298589,40
ENS,EnergySwap,21.17966895474693,41
FDUSD,First Digital USD,1.0034511740410104,42
MKR,Maker,1966.5537110755126,43
VET,VeChain,0.028486365110589475,44
NEAR,NEAR Protocol,3.0696982439859912,45
FXS,Frax Share,8.737822234401316,46
ORDI,ordi,69.61131868430742,47
BSV,Bitcoin SV,76.16924731660617,48
AAVE,Aave,97.4206590478841,49
ALGO,Algorand,0.17966642641750377,50
